Table 6,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,
"by City, 2016",,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Womelsdorf,"2,860",2,0,1,,0,1,19,5,13,1,0
Worthington,609,0,0,0,,0,0,0,0,0,0,0
Wright Township,"5,659",0,0,0,,0,0,53,4,46,3,0
Wyoming,"3,038",5,0,1,,2,2,118,13,100,5,0
Wyomissing,"10,473",9,0,1,,2,6,378,14,361,3,1
Yardley,"2,442",17,0,0,,0,17,28,3,24,1,0
Yeadon,"11,537",40,3,0,,17,20,337,48,265,24,0
York,"44,017",416,8,12,,208,188,"1,408",298,917,193,11
York Area Regional,"55,292",67,1,13,,6,47,465,78,371,16,2
Youngsville,"1,653",1,0,0,,0,1,13,3,10,0,0
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
"3 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,,
"4 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,,
